Domian;Phylum;Class;Order;Family;Genus;Species;MP288;MP289;MP290;MP291;MP292;MP293;MP294;MP295;MP296;MP297;MP298;MP299;MP300;MP301;MP302;MP303;MP304;MP305;MP306;MP307;total
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;;0;0;36;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;87;217
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;;0;0;0;0;0;0;0;0;0;0;0;0;52;81;0;80;0;0;0;0;213
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;Tepidimonas_fonticaldi;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;212
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;;;0;0;0;0;0;0;60;0;0;0;0;0;0;0;128;0;0;0;0;0;188
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;uncultured;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;185
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pontibaca;;0;81;0;50;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;185
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;;;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;63;0;0;0;182
Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Fodinicurvataceae;uncultured;uncultured_Rhodospirillaceae;57;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;180
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;0;0;0;0;0;179
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;;0;0;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;0;0;0;172
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;Nitrosomonas_stercoris;0;0;0;36;0;0;0;76;0;0;0;0;0;60;0;0;0;0;0;0;172
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Paenalcaligenes;uncultured_bacterium;0;37;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;49;0;169
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;139;168
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;;;0;0;0;22;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_radioresistens;0;0;0;0;0;0;0;0;0;0;71;0;0;0;95;0;0;0;0;0;166
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;uncultured;uncultured;;0;0;0;0;0;0;0;0;0;68;81;0;0;0;0;0;14;0;0;0;163
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;;;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;proteobacterium_1;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Paenalcaligenes;;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;0;0;0;152
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;SC-I-84;uncultured_Nitrosomonadaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;149
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;149
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;145
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;Xanthobacter_autotrophicus;0;38;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;145
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;uncultured;uncultured_forest;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;96;143
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;;0;30;0;56;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;39;143
Bacteria;Proteobacteria;Gammaproteobacteria;CCM19a;CCM19a;CCM19a;;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;138
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfurifustis;uncultured_Thiotrichaceae;9;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;98;0;0;138
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Luteibacter;uncultured_gamma;22;0;0;0;46;0;0;45;0;0;24;0;0;0;0;0;0;0;0;0;137
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;0;134
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;133
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;Pleomorphomonas;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;132
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;130
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_variabilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;124
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;uncultured;;0;0;0;21;88;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;123
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;uncultured;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;120
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Craurococcus-Caldovatus;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;47;0;73;0;0;0;0;0;0;0;120
Bacteria;Proteobacteria;Alphaproteobacteria;;;;;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;29;117
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;wb1-P19;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;116
Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus_Alysiosphaera;uncultured_bacterium;0;0;0;0;0;0;0;30;0;0;0;0;86;0;0;0;0;0;0;0;116
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;uncultured;uncultured;Idiomarina_sp.;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;114
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;Nitrosococcus;Nitrosococcus_oceani;22;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;113
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;;0;0;0;55;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;109
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;107
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;uncultured_Moraxella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;106
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;106
Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;uncultured;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;41;105
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;uncultured;;0;0;0;0;0;64;0;0;13;0;0;0;0;0;0;0;0;0;0;27;104
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;;0;66;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Kingella;;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;uncultured;;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;94
Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;Puniceispirillales_Incertae_Sedis;Constrictibacter;uncultured_bacterium;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;94
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Ahniella;metagenome;0;20;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;93
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;;;0;0;0;0;0;0;0;0;0;42;0;0;49;0;0;0;0;0;0;0;91
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;91
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;AAP99;uncultured_bacterium;0;0;0;0;0;0;0;0;0;51;0;0;40;0;0;0;0;0;0;0;91
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;uncultured;metagenome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;88
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;;;11;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;;0;0;0;27;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;88
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum;Methylococcaceae_bacterium;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;uncultured;uncultured;uncultured_Alphaproteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Pelagibacterium;;0;0;0;61;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;84
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_litoralis;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;40;0;83
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;uncultured_Phyllobacteriaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;82
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;A0839;A0839;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;82
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Oceanisphaera;uncultured_bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;80
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;79
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;Cellvibrio_gandavensis;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
